customer_id,first_name,last_name,city,country,signup_date
1,Manon,Peltier,Dupré,France,2026-03-01
2,Martin,Da Silva,Gros,France,2024-05-08
3,Frédéric,Grondin,Sainte Diane-sur-Mer,France,2024-11-09
4,Noémi,Laporte,Petitjean-sur-Leclercq,France,2024-10-22
5,Emmanuelle,Charrier,Vaillant,France,2026-02-15
6,Timothée,Baron,Petitjean,France,2023-08-27
7,Catherine,Grégoire,Saint Chantal,France,2023-09-09
8,Valentine,Pasquier,Dumont,France,2026-03-03
9,Élisabeth,Guérin,Delaunay-sur-Gomez,France,2026-05-12
10,Maggie,Evrard,Vaillant-sur-Mer,France,2025-03-15
11,Laure,Tessier,RossiVille,France,2024-06-11
12,Madeleine,Bonnet,Saint David-la-Forêt,France,2025-08-18
13,Nath,Weber,Fernandez-sur-Lebreton,France,2026-02-22
14,Élisabeth,Ribeiro,Sainte Gérard,France,2023-10-22
15,Benoît,Lebrun,Verdier-sur-Hoareau,France,2024-12-29
16,Vincent,Blanchard,Alexandreboeuf,France,2025-12-29
17,Gérard,Mallet,MaillardBourg,France,2025-07-15
18,Céline,Hoarau,Lenoir,France,2024-08-24
19,Juliette,Lecoq,Martineau,France,2024-10-27
20,Madeleine,Jacques,Chauvet-sur-Mer,France,2023-06-26
21,Michèle,Andre,Lévêque,France,2025-11-21
22,Laure,Foucher,Bouchet,France,2023-10-24
23,Susan,Potier,Sainte Julien,France,2024-03-02
24,Nathalie,Martel,Clément,France,2024-11-29
25,Zoé,Techer,Meyerboeuf,France,2026-03-28
26,Luc,Michaud,Vallée,France,2025-05-09
27,Odette,Guyon,Blondel,France,2026-04-19
28,Élodie,Camus,Monnier-la-Forêt,France,2026-03-19
29,Brigitte,Launay,Leroy,France,2024-12-19
30,Marie,Voisin,Guillaume,France,2024-04-16
31,Adrien,Giraud,Masse,France,2023-08-30
32,Hortense,Colin,Lévêque-les-Bains,France,2026-05-16
33,Martin,Loiseau,Saint Alain,France,2023-07-02
34,Jules,Martins,Rémy,France,2024-09-12
35,Lucas,Picard,Saint Laureboeuf,France,2024-11-23
36,Éléonore,Philippe,Munoz,France,2026-05-22
37,Suzanne,Rousset,Guichard-les-Bains,France,2025-08-03
38,Caroline,Michel,Girard,France,2025-07-12
39,Auguste,Gomes,Sainte Emmanuelle-les-Bains,France,2024-09-13
40,Aurélie,Toussaint,Sainte Alphonse,France,2024-10-15
41,Madeleine,Barre,Couturier-les-Bains,France,2023-09-11
42,Maggie,Ramos,MalletBourg,France,2024-06-07
43,Roger,Hubert,Saint Tristan,France,2024-03-07
44,Margaux,Godard,Mallet-les-Bains,France,2024-08-03
45,Grégoire,Garcia,Grondin-sur-Lemaire,France,2024-02-07
46,Chantal,Fernandez,HubertBourg,France,2024-05-14
47,Raymond,Fischer,Grégoire-les-Bains,France,2024-05-11
48,Paul,Guibert,Maurice,France,2024-08-13
49,Danielle,Chevalier,Maury,France,2025-01-25
50,Gérard,Collin,Gomes,France,2024-04-09
51,Auguste,Marques,Sainte Lucboeuf,France,2024-05-15
52,Maryse,Paris,Dos Santos,France,2025-02-06
53,Chantal,Laine,Bousquet-sur-Fouquet,France,2023-06-07
54,Clémence,Jacquot,Rémy-les-Bains,France,2025-01-06
55,Gabriel,Ferrand,Grosboeuf,France,2026-05-06
56,Luc,Barbe,Moulin,France,2025-11-03
57,Isabelle,Lopez,Boulanger,France,2026-02-06
58,Lorraine,Verdier,Sainte Frédéric,France,2025-08-31
59,Raymond,Laurent,Petitjean,France,2024-02-18
60,Hélène,Masse,Pineauboeuf,France,2024-07-27
61,Valentine,Andre,Dupuy,France,2026-05-27
62,Julien,De Sousa,Masson-sur-Antoine,France,2024-12-04
63,Frédéric,Auger,SauvageBourg,France,2024-06-06
64,Élodie,Hebert,DiazVille,France,2024-04-19
65,Raymond,Bourgeois,Raynauddan,France,2024-02-23
66,Olivie,Chauveau,BousquetBourg,France,2025-05-25
67,Paul,Arnaud,Sainte Guydan,France,2024-12-30
68,Célina,Fleury,Royer,France,2024-09-07
69,Franck,Chartier,Perrin,France,2024-03-19
70,Madeleine,Fournier,Clerc-sur-Breton,France,2024-10-02
71,Inès,Hubert,Saint Aurore,France,2025-12-14
72,Marcel,Morel,LecomteVille,France,2025-04-04
73,Juliette,Marin,Saint Christiane,France,2025-08-23
74,Grégoire,Henry,Fauredan,France,2024-08-10
75,Aimée,Boulay,Lacombe-sur-Mer,France,2025-04-27
76,Eugène,Bègue,Saint Charles,France,2025-04-21
77,Nath,Brunet,Perrin-sur-Lecoq,France,2026-01-04
78,Michelle,Riou,Saint Gabriel-la-Forêt,France,2025-12-07
79,Lorraine,Guillaume,Fabre,France,2024-12-12
80,Cécile,Lelièvre,Lenoir-sur-Chauvet,France,2023-07-06
81,Maurice,Hebert,Julien,France,2024-05-11
82,Roland,Guillon,Saint Isaac,France,2025-01-20
83,William,Clerc,Mahe,France,2024-05-31
84,Arthur,Fleury,Richard,France,2023-07-27
85,Mathilde,Monnier,Perez-la-Forêt,France,2025-09-15
86,Luce,Deschamps,Camus,France,2024-05-22
87,Margaux,Schmitt,Sainte Théodore,France,2024-07-06
88,Émile,Collet,Schmitt,France,2023-11-29
89,Stéphanie,Courtois,Pinto,France,2023-10-16
90,Astrid,Valette,JulienBourg,France,2024-03-20
91,Denise,Poulain,Lebreton-la-Forêt,France,2024-11-27
92,Alexandre,Lenoir,Sainte Dominiquenec,France,2025-08-04
93,Emmanuel,Richard,Alves,France,2026-05-25
94,Agnès,Vincent,Saint PierreBourg,France,2023-10-24
95,Alex,Pineau,Lebreton,France,2025-02-18
96,Guy,Lambert,Schmitt-sur-Mer,France,2025-12-19
97,Astrid,Aubert,Dupuy-les-Bains,France,2025-12-26
98,Paulette,Leblanc,Gosselin,France,2023-12-20
99,Honoré,Torres,BenardVille,France,2025-06-19
100,Louis,Roger,Baudry-la-Forêt,France,2024-01-21
101,Céline,Guillet,Brunet-sur-Boulay,France,2024-06-25
102,Jérôme,Morvan,Bouvierboeuf,France,2025-03-18
103,Étienne,Blin,Bertin,France,2025-02-26
104,Roland,Marty,Munoz,France,2024-03-18
105,Alfred,Fleury,Alves-sur-Mer,France,2023-09-15
106,Sabine,Adam,Guilbert,France,2025-08-29
107,Michelle,Fernandez,Benoit,France,2025-03-07
108,Monique,Dias,Barre,France,2025-04-12
109,Joseph,Godard,Ribeiro,France,2024-12-24
110,Virginie,Voisin,MaheBourg,France,2025-05-21
111,Véronique,Guérin,Benoitboeuf,France,2025-02-22
112,Aurore,Renaud,Schneider,France,2025-06-25
113,Chantal,Millet,Gosselin,France,2026-03-19
114,Christelle,Bonnet,Bertranddan,France,2025-04-11
115,Gérard,Durand,Blanchard,France,2025-02-01
116,Thierry,Fournier,Sainte Emmanuelboeuf,France,2024-09-26
117,Diane,Chevalier,Caron,France,2024-12-31
118,Sylvie,Simon,Ledoux-sur-Merle,France,2024-05-11
119,Arthur,Rocher,RenaultBourg,France,2025-01-01
120,Benjamin,Bertin,Saint Arthurdan,France,2023-07-30
121,Antoine,Menard,Rousseau-les-Bains,France,2026-05-31
122,Laetitia,Étienne,De Oliveira,France,2024-10-19
123,Corinne,Grondin,Vaillant-sur-Carre,France,2025-03-04
124,Joséphine,Martinez,Hervé,France,2025-03-19
125,Philippe,Prévost,Legendre-la-Forêt,France,2023-06-20
126,Anouk,Brunel,Bertrandnec,France,2026-01-29
127,Marie,Robin,Foucher,France,2024-12-26
128,Marc,Delmas,Chevallier,France,2023-08-17
129,Renée,Allard,Sainte Michelle,France,2025-04-07
130,Claire,Julien,Pruvost,France,2026-01-16
131,Audrey,Lemoine,BenoitVille,France,2024-12-12
132,Hugues,Seguin,Mathieu,France,2025-12-10
133,Amélie,Perrier,Monnier-les-Bains,France,2026-03-29
134,Sébastien,Boucher,Reynauddan,France,2025-10-29
135,Lucy,Lefèvre,Fleury-les-Bains,France,2023-11-01
136,Bernadette,Gosselin,Ferrand-les-Bains,France,2025-09-20
137,Geneviève,Bousquet,Poulain,France,2025-10-03
